Ticker
MMM
ABBV
ALV
GOOG
AMZN
AMGN
ABI
AAPL
BHP
BP
BATS
CVX
CSCO
C
KO
DD
XOM
GE
GSK
HSBA
IBM
INTC
JNJ
JPM
MA
MCD
MRK
FB
MSFT
NESN
NOVN
NVDA
ORCL
PEP
PFE
PM
PG
ROG
RY
SMSN
SAN
RDSA
SIE
BA
DIS
TOT
TOYOY
TSM
V
WMT
